"11200","2238","2","71","","","3690","19663","","","","","","","","","","","","","","","","0","","","","","","","","0","","","","","46","","","","","","54186.8","","","","","","0","","","","54186.8","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Унифицированная форма № ТОРГ- 12 ","","","","180","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Утверждена постановлением Госкомстата России от 25.12.98 № 132","","","","180","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Код","","","","","","180","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Форма по ОКУД","0330212 ","","","","","","210","","","","","","","","","","",""
"Спортивное питание ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","по ОКПО","","","","","","","","","226","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","75","","","","","","","","","","",""
"организация – грузоотправитель, адрес, номер телефона, факса, банковские реквизиты","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","135","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","","","","","","","","","","",""
"структурное подразделение","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Вид деятельности по ОКДП","","","","","","","195","","","","","","","","","","",""
"Грузополучатель","","","","","","","Индивидуальный предприниматель Бигулова Залина Константиновна, Россия, г Владикавказ, ИНН 150100543781, тел. 89188227716, р/с 40802810760340100169 в банке СТАВРОПОЛЬСКОЕ ОТДЕЛЕНИЕ N5230 ПАО СБЕРБАНК г Ставрополь БИК 040702615, корр/с 30101810907020000615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","по ОКПО","83805745.00","","","","","","598","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","наименование организации, адрес, номер телефона, банковские реквизиты","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Ы","","","150","","","","","","","","","","",""
"Поставщик","","","","","","","Спортивное питание ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","по ОКПО","","","","","","","226","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","наименование организации, адрес, номер телефона, банковские реквизиты","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0083805745","","","","","","150","","","","","","","","","","",""
"Плательщик","","","","","","","Индивидуальный предприниматель Бигулова Залина Константиновна, 362019, Россия, Респ Северная Осетия - Алания, г Владикавказ, ул Пушкинская, 2 к 4 кв 117, ИНН 150100543781, тел. 89188227716, р/с 40802810760340100169 в банке СТАВРОПОЛЬСКОЕ ОТДЕЛЕНИЕ N5230 ПАО СБЕРБАНК г Ставрополь БИК 040702615, корр/с 30101810907020000615","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","по ОКПО","","","","","","","598","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","наименование организации, адрес, номер телефона, банковские реквизиты","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","номер","","","","","","","","150","","","","","","","","","","",""
"Основание","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","","","","","","","","","","",""
"","","","","","","","наименование документа (договор, контракт, заказ-наряд)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","дата","","","","","","","","195","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Транспортная накладная ","","","","","","","","номер","","","","","","","","195","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","дата","","","","","","","","195","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","Номер документа ","","","","","","Дата составления ","","","","","","","","","","","","","","","","","","","","","","","","Вид операции","","","","","","","195","","","","","","","","","","",""
"","","","","","","","","","","","ТОВАРНАЯ НАКЛАДНАЯ ","","","","","","","","","","","84592","","","","","","28/05/2021","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","255","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Страница 1","","","","180","","","","","","","","","","",""
"Номер по по- рядку","","","Товар","","","","","","","","","","","","","","","","Единица измерения","","","","","","Вид упаковки","","","Количество","","","","","Масса брутто","","","Количество (масса нетто)","","","Цена,
руб. коп.","","","Сумма без учета НДС,   руб. коп.","","","НДС ","","","","","","","Сумма с учетом НДС, руб. коп.","","","","","","","195","","","","","","","","","","",""
"","","","наименование, характеристика, сорт, артикул товара","","","","","","","","","","","","","код","","","наиме-нование","","","Код по ОКЕИ","","","","","","в одном месте","","","мест, штук ","","","","","","","","","","","","","","ставка,% ","","","сумма,
руб. коп. ","","","","","","","","","","","365","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90","","","","","","","","","","",""
"1","","","2","","","","","","","","","","","","","3","","","4","","","5","","","6","","","7","","","8","","9","","","10","","","11","","","12","","","13","","","14","","","","15","","","","","0","","202","","","","","","","","","","",""
"1","","","4Me Nutrition L-carnitine + Guarana ATTACK 3600 1000 мл ананас","","","","","","","","","","","","","""4 ME Nutrition"" конц. Л-карн+Гуарана ATTACK 3600 ананас 1л","","","Мл","","","126","","","","","","","","","","","","","","2","","","990.00","","","1980.00","","","Без НДС","","","0.00","","","","1980.00","","","","","5373","412","","","","","","","","","","","",""
"2","","","4Me Nutrition L-carnitine + Guarana ATTACK 3600 1000 мл гранат","","","","","","","","","","","","","""4 ME Nutrition"" конц. Л-карн+Гуарана ATTACK 3600 гранат 1л","","","Мл","","","126","","","","","","","","","","","","","","1","","","990.00","","","990.00","","","Без НДС","","","0.00","","","","990.00","","","","","4961","412","","","","","","","","","","","",""
"3","","","4Me Nutrition L-carnitine + Guarana ATTACK 3600 500 мл ананас","","","","","","","","","","","","","""4 ME Nutrition"" конц. Л-карн+Гуарана ATTACK 3600 ананас 0,5л","","","Мл","","","126","","","","","","","","","","","","","","2","","","580.00","","","1160.00","","","Без НДС","","","0.00","","","","1160.00","","","","","4549","412","","","","","","","","","","","",""
"4","","","4Me Nutrition L-carnitine + Guarana ATTACK 3600 500 мл гранат","","","","","","","","","","","","","""4 ME Nutrition"" конц. Л-карн+Гуарана ATTACK 3600 гранат 0,5л","","","Мл","","","126","","","","","","","","","","","","","","2","","","580.00","","","1160.00","","","Без НДС","","","0.00","","","","1160.00","","","","","4137","412","","","","","","","","","","","",""
"5","","","Be First Guarana Liquid 1500 (20 амп Х 25 мл) малина","","","","","","","","","","","","","Guarana Liquid 1500, 20 ампул, малина","","","","","","","","","","","","","","","","","","","","5","","","659.00","","","3295.00","","","Без НДС","","","0.00","","","","3295.00","","","","","3725","412","","","","","","","","","","","",""
"6","","","Be First L-carnitine 3300 (20 амп Х 25 мл) малина","","","","","","","","","","","","","L-carnitine 3300, 20 ампул, малина","","","","","","","","","","","","","","","","","","","","3","","","926.00","","","2778.00","","","Без НДС","","","0.00","","","","2778.00","","","","","3313","412","","","","","","","","","","","",""
"7","","","Bombbar CHIKALAB Паста BRUNETTA (12 шт в уп) Штучно 250 г солёная карамель с кешью","","","","","","","","","","","","","Bombbar CHIKALAB Паста BRUNETTA (12 шт в уп) Штучно 250 г солёная карамель с кешью","","","г","","","163","","","","","","","","","","","","","","1","","","261.00","","","261.00","","","Без НДС","","","0.00","","","","261.00","","","","","2901","598","","","","","","","","","","","",""
"8","","","Bombbar Паста натуральная Peanut bomb butter (12 шт в уп) Штучно 300 г классическая","","","","","","","","","","","","","Bombbar Паста натуральная Peanut bomb butter (12 шт в уп) Штучно 300 г классическая","","","г","","","163","","","","","","","","","","","","","","1","","","200.00","","","200.00","","","Без НДС","","","0.00","","","","200.00","","","","","2303","598","","","","","","","","","","","",""
"9","","","Bombbar Паста натуральная Peanut bomb butter (12 шт в уп) Штучно 300 г хрустящая","","","","","","","","","","","","","Bombbar Паста натуральная Peanut bomb butter (12 шт в уп) Штучно 300 г хрустящая","","","г","","","163","","","","","","","","","","","","","","1","","","200.00","","","200.00","","","Без НДС","","","0.00","","","","200.00","","","","","1705","598","","","","","","","","","","","",""
"10","","","GEON Creatine pro 300 г","","","","","","","","","","","","","Креатин Про, 300 г порошок","","","г","","","163","","","","","","","","","","","","","","3","","","396.00","","","1188.00","","","Без НДС","","","0.00","","","","1188.00","","","","","1107","226","","","","","","","","","","","",""
"11","","","Maxler 100% Сollagen Hydrolysate (can) 300 г Unflavored","","","","","","","","","","","","","MXL. 100% Collagen Hydrolysate 300 g (can) - Unflavored","","","г","","","163","","","","","","","","","","","","","","1","","","954.09","","","954.09","","","Без НДС","","","0.00","","","","954.09","","","","","881","412","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Итого:","0","","","","","22","","","х","","","14166.09","","","х","","","0.00","","","","14166.09","","","","","","","225","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Страница 2","","","","255","","","","","","","","","","",""
"Номер","","","","","","","","","","","Товар","","","","","","","","  Единица измерения","","","","","","","Вид","","","  Количество","","","","","Масса","","Количество","","","","Цена,","","     Сумма без","","","","","","НДС ","","","","","Сумма с","","","","","","210","","","","","","","","","","",""
"по по-","","","","","","","","","наименование, характеристика, сорт,","","","","","","","","код","","","наиме-","","","Код по","","","упаковки ","","в одном","","","    мест,","",""," брутто","","","(масса","","     руб. коп.","","","     учета НДС,","","","","ставка,% ","",""," сумма,","","","   учетом НДС, ","","","","","","","","","","","","","","","","","",""
"рядку","","","","","","","артикул товара","","","","","","","","","","","","","нование","","","ОКЕИ","","","","","","месте","","    штук","","","","","","нетто)","","","","","        руб. коп.","","","","","","","руб. коп.","","","       руб. коп.","","","","","","","195","","","","","","","","","","",""
"1","","","2","","","","","","","","","","","","","3","","","4","","","5","","","6","","","7","","","8","","9","","","10","","","11","","","12","","","13","","","14","","","","15","","","","","","","180","","","","","","","","","","",""
"12","","","Maxler Beauty Collagen 450 мл Citrus","","","","","","","","","","","","","MXL. Beauty Collagen 450 ml - Citrus","","","Мл","","","126","","","","","","","","","","","","","","1","","","854.31","","","854.31","","","Без НДС","","","0.00","","","","854.31","","","","","10360","226","","","","","","","","","","","",""
"13","","","Maxler Creatine (пакет) 500 г","","","","","","","","","","","","","MXL. Creatine 500 g (bag)","","","г","","","163","","","","","","","","","","","","","","8","","","667.01","","","5336.08","","","Без НДС","","","0.00","","","","5336.08","","","","","10134","226","","","","","","","","","","","",""
"14","","","Maxler Daily Max 20 eff. tabl. tube Orange","","","","","","","","","","","","","MXL. Daily Max 20 eff. tabl. - Orange","","","eff. tabl. tube","","","","","","","","","","","","","","","","","1","","","201.89","","","201.89","","","Без НДС","","","0.00","","","","201.89","","","","","9908","412","","","","","","","","","","","",""
"15","","","Maxler Daily Max 20 eff. tabl. tube Штучно Mango","","","","","","","","","","","","","MXL. Daily Max 20 eff. tabl.  - Mango","","","eff. tabl. tube","","","","","","","","","","","","","","","","","1","","","201.89","","","201.89","","","Без НДС","","","0.00","","","","201.89","","","","","9496","412","","","","","","","","","","","",""
"16","","","Maxler Krealkalyn 120 капс","","","","","","","","","","","","","MXL. Krealkalyn 120 caps","","","капс","","","","","","","","","","","","","","","","","3","","","1062.28","","","3186.84","","","Без НДС","","","0.00","","","","3186.84","","","","","9084","226","","","","","","","","","","","",""
"17","","","Maxler Marine Collagen SkinCare 500 мл Mango","","","","","","","","","","","","","MXL. Marine Collagen SkinCare (Collag/Hyaluronic Acid) 500 ml - Mango","","","Мл","","","126","","","","","","","","","","","","","","1","","","928.53","","","928.53","","","Без НДС","","","0.00","","","","928.53","","","","","8858","412","","","","","","","","","","","",""
"18","","","Maxler Max Motion 20 eff. tabl. tube Apricot","","","","","","","","","","","","","MXL. Max Motion 20 eff. tabl. tube - Apricot","","","eff. tabl. tube","","","","","","","","","","","","","","","","","1","","","186.56","","","186.56","","","Без НДС","","","0.00","","","","186.56","","","","","8446","412","","","","","","","","","","","",""
"19","","","Maxler Max Motion 20 eff. tabl. tube Pomegranate","","","","","","","","","","","","","MXL. Max Motion 20 eff. tabl. tube - Pomegranate","","","eff. tabl. tube","","","","","","","","","","","","","","","","","1","","","186.56","","","186.56","","","Без НДС","","","0.00","","","","186.56","","","","","8034","412","","","","","","","","","","","",""
"20","","","Optimum Nutrition 100 % Whey protein Gold standard 908 г Banana Cream","","","","","","","","","","","","","ON08","","","г","","","163","","","","","","","","","","","","","","3","","","1822.82","","","5468.46","","","Без НДС","","","0.00","","","","5468.46","","","","","7622","412","","","","","","","","","","","",""
"21","","","Optimum Nutrition 100 % Whey protein Gold standard 908 г Chocolate Malt","","","","","","","","","","","","","ON40","","","г","","","163","","","","","","","","","","","","","","3","","","1822.82","","","5468.46","","","Без НДС","","","0.00","","","","5468.46","","","","","7210","412","","","","","","","","","","","",""
"22","","","Optimum Nutrition 100 % Whey protein Gold standard 908 г Chocolate Peanut Butter","","","","","","","","","","","","","ON286","","","г","","","163","","","","","","","","","","","","","","3","","","1822.82","","","5468.46","","","Без НДС","","","0.00","","","","5468.46","","","","","6798","598","","","","","","","","","","","",""
"23","","","Optimum Nutrition 100 % Whey protein Gold standard 908 г Double Rich Chocolate","","","","","","","","","","","","","ON78","","","г","","","163","","","","","","","","","","","","","","4","","","1822.82","","","7291.28","","","Без НДС","","","0.00","","","","7291.28","","","","","6200","598","","","","","","","","","","","",""
"24","","","Optimum Nutrition BCAA 1000 400 капс","","","","","","","","","","","","","ON122","","","капс","","","","","","","","","","","","","","","","","2","","","2178.26","","","4356.52","","","Без НДС","","","0.00","","","","4356.52","","","","","5602","412","","","","","","","","","","","",""
"25","","","Ultimate Nutrition Glucosamine & Chondroitin & MSM 90 таб","","","","","","","","","","","","","ULT. Glucosamine & Chondroitin & MSM 90 tabs","","","таб","","","","","","","","","","","","","","","","","3","","","1029.00","","","3087.00","","","Без НДС","","","0.00","","","","3087.00","","","","","5190","412","","","","","","","","","","","",""
"26","","","VP Laboratory L-Carnitine Concentrate 1000 мл вишня-черника","","","","","","","","","","","","","VP203036-1","","","Мл","","","126","","","","","","","","","","","","","","2","","","1282.98","","","2565.96","","","Без НДС","","","0.00","","","","2565.96","","","","","4778","412","","","","","","","","","","","",""
"27","","","VP Laboratory L-Carnitine Concentrate 1000 мл тропик","","","","","","","","","","","","","VP200389-1","","","Мл","","","126","","","","","","","","","","","","","","2","","","1255.24","","","2510.48","","","Без НДС","","","0.00","","","","2510.48","","","","","4366","412","","","","","","","","","","","",""
"28","","","VP Laboratory L-Carnitine Concentrate NEW 1000 мл Тропические фрукты","","","","","","","","","","","","","VP60961","","","Мл","","","126","","","","","","","","","","","","","","2","","","1282.98","","","2565.96","","","Без НДС","","","0.00","","","","2565.96","","","","","3954","412","","","","","","","","","","","",""
"29","","","VP Laboratory L-Carnitine Concentrate NEW 1000 мл вишня-черника","","","","","","","","","","","","","VP60923","","","Мл","","","126","","","","","","","","","","","","","","2","","","1282.98","","","2565.96","","","Без НДС","","","0.00","","","","2565.96","","","","","3542","412","","","","","","","","","","","",""
"30","","","СТ Кофеин 2000 (20 амп х 25 мл) виноград","","","","","","","","","","","","","""НПО Спортивные Технологии"" Кофеин 2000 виноград (20*25 мл)","","","","","","","","","","","","","","","","","","","","3","","","585.20","","","1755.60","","","Без НДС","","","0.00","","","","1755.60","","","","","3130","412","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Итого:","0","","","","","46","","","х","","","54186.80","","","х","","","0.00","","","","54186.80","","","","","","","225","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Всего по накладной:","0","","","","","68","","","х","","","68352.89","","","х","","","0.00","","","","68352.89","","","","","","","225","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Страница 3","","","","264","","","","","","","","","","",""
"Товарная накладная имеет приложение на","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","листах","","","","","","","","","","","","","","","","","","","","","","225","","","","","","","","","","",""
"и содержит       ","","","","","Тридцать ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","порядковых номеров записей","","","","","","","","","","","","","","","","","","","","","","225","","","","","","","","","","",""
"","","","","","прописью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","Масса груза (нетто) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","прописью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","150","","","","","","","","","","",""
"","","","","Всего мест ","","","","","","","","","","","","","Масса груза (брутто) ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","225","","","225","","","","","","","","","","",""
"","","","","","прописью","","","","","","","","","","","","","","","","","","","прописью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","150","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","15","","","","","","","","","","",""
"Приложение (паспорта, сертификаты, и т.п.) на ","","","","","","","","","","","","","","","","","","","","","","","","","","листах","","","","По доверенности №","","","","","","","","","","","","от","","","","","","","","","","","","","","225","","","225","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","прописью","","","","","","","","","","","","","выданной","","","","","","","","","","","","","","","","","","","","","","","","","","225","","","225","","","","","","","","","","",""
"Всего отпущено на сумму","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","кем, кому (организация, должность, фамилия и. о.)","","","","","","","","","","","","","","","","","","","","","","225","","","225","","","","","","","","","","",""
"Шестьдесят восемь тысяч триста пятьдесят два рубля 89 копеек","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","180","","","","","","","","","","","","","",""
"","","","","","","","","","","","","прописью","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","165","","","","","","","","","","","","","",""
"Отпуск груза разрешил ","","","","","","","","Генеральный директор","","","","","","","","","","","","","","","","","","","","","","Груз принял ","","","","","","","","","","","","","","","","","","","","","","","","","","`","","","285","","","","","","","","","","",""
"","","","","","","","должность  ","","","","","","","","","","","","","","","расшифровка подписи","","","","","","","","","","","","","должность ","","","","","","","","подпись","","","","","","расшифровка подписи","","","","","","","150","","","150","","","","","","","","","","",""
"Главный (старший) бухгалтер     ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Груз получил ","","","","","","","","","","","","","","","","","","","","","","","","","","195","","","195","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","расшифровка подписи","","","","","","","","грузополучатель","","","","","должность ","","","","","","","","подпись","","","","","","расшифровка подписи","","","","","","","150","","","150","","","","","","","","","","",""
"Отпуск груза произвел","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195","","","195","","","","","","","","","","",""
"","","","","","","","","должность ","","","","","","","","","","","","","","расшифровка подписи","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","150","","","150","","","","","","","","","","",""
"","","","","М.П.","","","28 May 2021 г.","","","","","","","","","","","","","","","","","","","","","","","","","","","М.П.","","","","","""     ""","","","","","","","20","","года","","","","","","","","","","","195","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",""
